,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
254,13825322.0,09/07/2015 12:00:00 AM,16:45:00,H,M,8.0,N,LAKE AUSTIN ZONE 5,N,,,30.35161969999999,-97.80620549999999
255,13825323.0,09/07/2015 12:00:00 AM,17:25:00,W,M,8.0,N,LAKE AUSTIN ZONE 1,N,,,30.35161969999999,-97.80620549999999
256,13825324.0,11/11/2015 12:00:00 AM,16:50:00,W,M,8.0,N,RED RIVER STREET,N,,,30.2847751,-97.7274905
257,13825325.0,11/11/2015 12:00:00 AM,17:05:00,W,M,8.0,N,RED RIVER STREET,N,,,30.2847751,-97.7274905
258,13827149.0,04/05/2015 12:00:00 AM,10:22:00,H,M,5.0,Y,1700 BLOCK EAST WILLIAM CANNON DR,N,,,30.188808,-97.76622
259,13827380.0,05/24/2015 12:00:00 AM,6:03:00,A,M,1.0,N,1300 BLOCK EAST RUNDBERG LANE,N,,,30.353035,-97.679565
260,13827381.0,05/24/2015 12:00:00 AM,22:49:00,H,M,1.0,N,900 BLOCK WEST RUNDBERG LANE,N,,,30.363848,-97.698364
261,13827383.0,06/01/2015 12:00:00 AM,4:00:00,H,M,5.0,N,8000 BLOCK GESSNER DRIVE,Y,5.0,5.0,30.343758,-97.70233
262,13827384.0,06/01/2015 12:00:00 AM,22:22:00,W,M,1.0,N,9000 BLOCK NORTH LAMAR BOULEVARD,N,,,30.361267,-97.69802
263,13827385.0,06/17/2015 12:00:00 AM,22:14:00,ME,M,1.0,N,9000 BLOCK NORTH LAMAR BOULEVARD,N,,,30.361267,-97.69802
264,13827386.0,09/25/2015 12:00:00 AM,22:00:00,A,F,2.0,N,11000 BLOCK NORTH LAMAR BOULEVARD,N,,,30.378998,-97.68801
265,13827387.0,10/28/2015 12:00:00 AM,22:27:00,H,M,1.0,N,COOPER DRIVE,N,,,30.3603642,-97.69662420000002
266,13840089.0,03/24/2015 12:00:00 AM,8:30:00,W,F,1.0,N,EAST 5TH STREET,N,,,30.2593112,-97.7190772
267,13845770.0,11/16/2015 12:00:00 AM,0:00:00,B,M,1.0,N,1100 RUTHERFORD,N,,,30.340757,-97.690414
268,13846458.0,05/20/2015 12:00:00 AM,17:36:00,ME,F,1.0,Y,EAST 11TH STREET,N,,,30.2687126,-97.7279638
269,13846459.0,05/20/2015 12:00:00 AM,17:56:00,W,F,2.0,Y,EAST 11TH STREET,N,,,30.2687126,-97.7279638
270,13846626.0,01/07/2015 12:00:00 AM,23:20:00,H,M,1.0,N,NORTHCREEK DRIVE,N,,,30.36173449999999,-97.6907256
271,13846628.0,03/14/2015 12:00:00 AM,22:00:00,W,M,1.0,N,8900 BLOCK GEORGIAN DRIVE,Y,1.0,5.0,30.355835,-97.69637
272,13847170.0,04/14/2015 12:00:00 AM,15:05:00,H,F,1.0,Y,8800 BLOCK NORTH IH 35 SERVICE ROAD,N,,,30.3523179,-97.6926844
273,13847171.0,04/14/2015 12:00:00 AM,19:00:00,H,M,1.0,Y,8300 BLOCK NORTH LAMAR BOULEVARD,N,,,30.3525241,-97.7091052
274,13847172.0,12/30/2015 12:00:00 AM,8:55:00,H,M,1.0,N,Oak Springs,N,,,30.273648,-97.69765389999999
